,Process,Tag
0,Microsoft Edge,Browser
1,20 Small Mazes,Game
2,AegisDefenders,Game
3,AimLab_tb,Game
4,Among Us,Game
5,Autonauts,Game
6,Baba Is You,Game
7,Battle.net,Game
8,Battle.net Setup,Game
9,Battle.net Uninstaller,Game
10,Bayonetta,Game
11,BlackDesert64,Game
12,Blitz,Game
13,BlueStacks,Game
14,BlueStacks 5,Game
15,BlueStacks Services,Game
16,Boomerang Fu,Game
17,Celeste,Game
18,ChainedTogether-Win64-Shipping,Game
19,Chants Of Sennaar,Game
20,Crawl,Game
21,CurseForge,Game
22,Curseforge Installer,Game
23,Cyberpunk 2077,Game
24,DELTARUNE,Game
25,Dark and Darker,Game
26,Deleveled,Game
27,Dragonica,Game
28,Dragonica Patcher,Game
29,EA Javelin Anticheat,Game
30,ELDEN RING™,Game
31,Eliza,Game
32,Epic Online Services UI Helper,Game
33,EpicGamesLauncher,Game
34,FINAL FANTASY XIV,Game
35,Factorio,Game
36,Fling to the Finish,Game
37,FortniteClient-Win64-Shipping,Game
38,Frog_Detective_2,Game
39,Furi,Game
40,GRIS,Game
41,Gankster,Game
42,Golf With Your Friends,Game
43,Greak Memories of Azur,Game
44,HITMAN 2,Game
45,HITMAN 2 Launcher,Game
46,HITMAN 3,Game
47,HITMAN 3 Launcher,Game
48,Hades,Game
49,Hades II,Game
50,Hamachi Client,Game
51,Haste,Game
52,HeaveHo,Game
53,Heaven's Vault,Game
54,Hollow Knight Silksong,Game
55,Human,Game
56,Hyper Light Drifter,Game
57,Inscryption,Game
58,KRInstall Wuthering Waves Overseas,Game
59,Kind Words,Game
60,KingdomTwoCrowns,Game
61,LLBlaze,Game
62,LariLauncher,Game
63,Launcher,Game
64,League of Legends,Game
65,League of Legends (TM) Client,Game
66,Legends of Runeterra,Game
67,LogMeIn Hamachi Tunneling Engine Properties (Local Computer),Game
68,LÖVE,Game
69,MONSTER HUNTER: WORLD,Game
70,MageArena,Game
71,Magicka2,Game
72,Marvel-Win64-Shipping,Game
73,MarvelRivals_Launcher,Game
74,Microsoft Minesweeper,Game
75,Minecraft,Game
76,Mount Your Friends,Game
77,Muck,Game
78,Neon White,Game
79,NineSols,Game
80,NotForBroadcast,Game
81,Out of Space,Game
82,Outward,Game
83,Outward Definitive Edition,Game
84,OutwardSaveFixer,Game
85,OutwardSaveTransfer,Game
86,Overwatch,Game
87,Overwolf,Game
88,OverwolfLauncher,Game
89,PAPatcher,Game
90,Palworld-Win64-Shipping,Game
91,PapersPlease,Game
92,PathOfExileSteam,Game
93,Patrick's Parabox,Game
94,PennysBigBreakaway,Game
95,Persona 5 Royal,Game
96,Phasmophobia,Game
97,RPG Maker 2003,Game
98,RainWorld,Game
99,Riot Client,Game
100,RiotClient,Game
101,Risk of Rain 2,Game
102,Roblox,Game
103,Roblox Bootstrapper,Game
104,Roblox Studio,Game
105,SUPERVIVE-Win64-Shipping,Game
106,Sniper Elite 5,Game
107,Sniper Elite 5 Launcher,Game
108,Solitaire & Casual Games,Game
109,SonicFrontiers,Game
110,SpeedRunners,Game
111,Spiritfarer,Game
112,StarCraft II (Retail),Game
113,StarCraft II Setup,Game
114,Steam,Game
115,Steam Client WebHelper,Game
116,SteelSeries GG Client,Game
117,Streamlabs Desktop,Game
118,Supermarket Together,Game
119,TESV: Skyrim,Game
120,Talos,Game
121,Textorcist,Game
122,The Elder Scrolls V: Skyrim Special Edition Launcher,Game
123,The Stanley Parable Ultra Deluxe,Game
124,The Survivalists,Game
125,TheForest,Game
126,Theorycraft Games Launcher,Game
127,Tomb Raider,Game
128,UNDERTALE                                                       ,Game
129,UnityCrashHandler64,Game
130,Unrailed,Game
131,VALORANT-Win64-Shipping,Game
132,Vanguard Tray,Game
133,WWTBAM,Game
134,Wallpaper Engine,Game
135,Wallpaper Engine GUI,Game
136,Wallpaper Engine Launcher,Game
137,WantedRaccoon,Game
138,Warframe.x64,Game
139,We Were Here Expeditions The FriendShip,Game
140,We Were Here Together,Game
141,WizardOfLegend,Game
142,World of Warcraft,Game
143,WormsMayhem,Game
144,barony,Game
145,cs2,Game
146,csgo,Game
147,deadlock,Game
148,enshrouded,Game
149,gameinputsvc,Game
150,helldivers,Game
151,launcher,Game
152,oneshot,Game
153,osu!,Game
154,screencheat,Game
155,skate.™,Game
156,valheim,Game
157,Obsidian-18.04.2025 1,Journaling
158,Obsidian-2025-05-14 1,Journaling
159,Obsidian-2025-05-18 1,Journaling
160,Obsidian-2025-05-1§,Journaling
161,Obsidian-2025-05-21 1,Journaling
162,Obsidian-2025-05-21 1 1,Journaling
