,Process,Tag
0,Microsoft Edge,Browser
1,20 Small Mazes,Game
2,AegisDefenders,Game
3,AimLab_tb,Game
4,Among Us,Game
5,Autonauts,Game
6,Baba Is You,Game
7,Battle.net,Game
8,Battle.net Setup,Game
9,Battle.net Uninstaller,Game
10,Bayonetta,Game
11,BlackDesert64,Game
12,Blitz,Game
13,BlueStacks,Game
14,BlueStacks 5,Game
15,BlueStacks Services,Game
16,Boomerang Fu,Game
17,CHRONO CROSS,Game
18,CHRONO CROSS: THE RADICAL DREAMERS EDITION,Game
19,Celeste,Game
20,ChainedTogether-Win64-Shipping,Game
21,Chants Of Sennaar,Game
22,Crawl,Game
23,Cuphead,Game
24,CurseForge,Game
25,Curseforge Installer,Game
26,Cyberpunk 2077,Game
27,DELTARUNE,Game
28,Dark and Darker,Game
29,Deleveled,Game
30,DontTouchAnything,Game
31,Dragonica,Game
32,Dragonica Patcher,Game
33,EA Javelin Anticheat,Game
34,ELDEN RING™,Game
35,Eliza,Game
36,Epic Online Services UI Helper,Game
37,EpicGamesLauncher,Game
38,FINAL FANTASY XIV,Game
39,Factorio,Game
40,Fling to the Finish,Game
41,FortniteClient-Win64-Shipping,Game
42,Frog_Detective_2,Game
43,Furi,Game
44,GRIS,Game
45,Gankster,Game
46,Golf With Your Friends,Game
47,Greak Memories of Azur,Game
48,HITMAN 2,Game
49,HITMAN 2 Launcher,Game
50,HITMAN 3,Game
51,HITMAN 3 Launcher,Game
52,Hades,Game
53,Hades II,Game
54,Hamachi Client,Game
55,Haste,Game
56,HeaveHo,Game
57,Heaven's Vault,Game
58,Hollow Knight Silksong,Game
59,Human,Game
60,Hyper Light Drifter,Game
61,Inscryption,Game
62,KRInstall Wuthering Waves Overseas,Game
63,Kind Words,Game
64,KingdomTwoCrowns,Game
65,LLBlaze,Game
66,LariLauncher,Game
67,Launcher,Game
68,League of Legends,Game
69,League of Legends (TM) Client,Game
70,Legends of Runeterra,Game
71,LogMeIn Hamachi Tunneling Engine Properties (Local Computer),Game
72,LÖVE,Game
73,MIMESIS,Game
74,MONSTER HUNTER: WORLD,Game
75,MageArena,Game
76,Magicka2,Game
77,Marvel-Win64-Shipping,Game
78,MarvelRivals_Launcher,Game
79,Microsoft Minesweeper,Game
80,Microsoft Windows Media Configuration Utility,Game
81,Minecraft,Game
82,Mount Your Friends,Game
83,Muck,Game
84,Neon White,Game
85,NineSols,Game
86,NotForBroadcast,Game
87,Out of Space,Game
88,Outward,Game
89,Outward Definitive Edition,Game
90,OutwardSaveFixer,Game
91,OutwardSaveTransfer,Game
92,Overwatch,Game
93,Overwolf,Game
94,OverwolfLauncher,Game
95,PAPatcher,Game
96,Palworld-Win64-Shipping,Game
97,PapersPlease,Game
98,PathOfExileSteam,Game
99,Patrick's Parabox,Game
100,PennysBigBreakaway,Game
101,Persona 5 Royal,Game
102,Phasmophobia,Game
103,RPG Maker 2003,Game
104,RainWorld,Game
105,Ride,Game
106,Riot Client,Game
107,RiotClient,Game
108,Risk of Rain 2,Game
109,Roblox,Game
110,Roblox Bootstrapper,Game
111,Roblox Studio,Game
112,SUPERVIVE-Win64-Shipping,Game
113,SkullGirls,Game
114,Sniper Elite 5,Game
115,Sniper Elite 5 Launcher,Game
116,Solitaire & Casual Games,Game
117,SonicFrontiers,Game
118,SpeedRunners,Game
119,Spiritfarer,Game
120,StarCraft II (Retail),Game
121,StarCraft II Setup,Game
122,Steam,Game
123,Steam Client WebHelper,Game
124,SteelSeries GG Client,Game
125,Streamlabs Desktop,Game
126,Supermarket Together,Game
127,TESV: Skyrim,Game
128,Talos,Game
129,Textorcist,Game
130,The Big Catch Tacklebox,Game
131,The Elder Scrolls V: Skyrim Special Edition Launcher,Game
132,The Stanley Parable Ultra Deluxe,Game
133,The Survivalists,Game
134,TheForest,Game
135,Theorycraft Games Launcher,Game
136,Tomb Raider,Game
137,UNDERTALE                                                       ,Game
138,UnityCrashHandler64,Game
139,Unrailed,Game
140,VALORANT-Win64-Shipping,Game
141,Vanguard Tray,Game
142,WWTBAM,Game
143,Wallpaper Engine,Game
144,Wallpaper Engine GUI,Game
145,Wallpaper Engine Launcher,Game
146,WantedRaccoon,Game
147,Warframe.x64,Game
148,We Were Here Expeditions The FriendShip,Game
149,We Were Here Together,Game
150,WizardOfLegend,Game
151,World of Warcraft,Game
152,WormsMayhem,Game
153,barony,Game
154,cs2,Game
155,csgo,Game
156,deadlock,Game
157,enshrouded,Game
158,gameinputsvc,Game
159,helldivers,Game
160,hl2,Game
161,launcher,Game
162,oneshot,Game
163,osu!,Game
164,screencheat,Game
